#{"t_start": 1764260614.415021, "env_id": "PandaReach-v3"}
r,l,t
-2.0,3,53.062202
-50.0,50,53.163612
-50.0,50,53.269745
-2.0,3,53.275834
-50.0,50,53.381149
-50.0,50,53.484214
-3.0,4,53.492778
-50.0,50,53.592093
-8.0,9,53.610536
-50.0,50,53.7135
-8.0,9,53.7337
-50.0,50,53.840309
-50.0,50,54.82221
-50.0,50,54.922821
-50.0,50,55.028732
-3.0,4,55.037918
-50.0,50,55.141696
-50.0,50,55.24573
-16.0,17,55.284725
-50.0,50,55.390239
-50.0,50,55.496818
-50.0,50,55.601398
-50.0,50,55.704039
-50.0,50,55.806646
-50.0,50,55.9117
-50.0,50,56.017305
-50.0,50,56.122165
0.0,1,56.124506
-50.0,50,56.224617
-50.0,50,56.329132
-50.0,50,56.43147
-50.0,50,56.537151
0.0,1,56.539467
-50.0,50,56.642365
-50.0,50,56.742068
-9.0,10,56.763224
-4.0,5,56.773255
-5.0,6,56.785141
-50.0,50,56.887526
-50.0,50,56.991556
-3.0,4,57.000273
-50.0,50,57.111068
-50.0,50,57.214735
-50.0,50,57.314194
-50.0,50,57.417894
-5.0,6,57.430283
-50.0,50,57.534858
-50.0,50,57.640674
-50.0,50,57.746989
-50.0,50,57.849694
-50.0,50,57.957515
-13.0,14,57.98647
-50.0,50,58.089637
-50.0,50,58.188451
-50.0,50,58.291817
-50.0,50,58.398801
-50.0,50,58.499078
0.0,1,58.501433
-50.0,50,58.605717
-50.0,50,58.705724
-50.0,50,58.807092
-18.0,19,58.848406
-7.0,8,58.864859
0.0,1,58.867105
-30.0,31,58.931743
-50.0,50,59.906681
-50.0,50,60.019684
-50.0,50,60.126676
-1.0,2,60.130911
-50.0,50,60.23613
-50.0,50,60.347027
-50.0,50,60.451749
-50.0,50,60.556612
-50.0,50,60.658438
-4.0,5,60.668724
-1.0,2,60.672743
0.0,1,60.67502
-5.0,6,60.687125
-50.0,50,60.792041
-50.0,50,60.891646
-5.0,6,60.903866
-50.0,50,61.007434
-50.0,50,61.108217
-2.0,3,61.115086
-50.0,50,61.218354
-50.0,50,61.321751
-50.0,50,61.422792
-5.0,6,61.435568
-50.0,50,61.537048
-50.0,50,61.638708
-50.0,50,61.741106
-50.0,50,61.843541
-50.0,50,61.948176
-9.0,10,61.969946
-50.0,50,62.073257
-5.0,6,62.08514
-50.0,50,62.192284
-50.0,50,62.297753
-50.0,50,62.398422
-10.0,11,62.420936
-29.0,30,62.48283
-14.0,15,62.514366
-50.0,50,62.614527
-3.0,4,62.622849
-3.0,4,62.630859
-2.0,3,62.636915
-3.0,4,62.645344
-50.0,50,62.751094
-50.0,50,62.854558
-4.0,5,62.865772
-50.0,50,62.968985
-50.0,50,63.073861
-17.0,18,63.112533
-50.0,50,63.212842
-16.0,17,63.248244
-50.0,50,63.357724
-50.0,50,63.459907
-50.0,50,63.56251
-50.0,50,63.668662
-50.0,50,63.771546
-50.0,50,63.875088
-50.0,50,63.975152
-50.0,50,64.07605
-9.0,10,64.096825
-17.0,18,64.987918
-2.0,3,64.994331
-50.0,50,65.096692
-7.0,8,65.113566
-50.0,50,65.215003
-50.0,50,65.317503
-7.0,8,65.334518
-50.0,50,65.437209
-50.0,50,65.542978
-6.0,7,65.557423
-50.0,50,65.664265
-3.0,4,65.673096
-3.0,4,65.68207
-50.0,50,65.784852
-50.0,50,66.099673
-50.0,50,66.200479
-2.0,3,66.206786
-6.0,7,66.220986
-4.0,5,66.23134
-50.0,50,66.336518
-50.0,50,66.440236
-50.0,50,66.542846
-50.0,50,66.648596
-50.0,50,66.754547
-1.0,2,66.758983
-50.0,50,66.865503
-50.0,50,66.967675
-50.0,50,67.072656
-5.0,6,67.085215
-50.0,50,67.185804
-50.0,50,67.294829
-13.0,14,67.325676
-50.0,50,67.43487
-4.0,5,67.445784
-6.0,7,67.460834
0.0,1,67.462888
-50.0,50,67.569099
-5.0,6,67.58259
-50.0,50,67.688862
0.0,1,67.690914
-50.0,50,67.795426
-50.0,50,67.899583
-50.0,50,68.002015
-50.0,50,68.107592
-4.0,5,68.118473
-50.0,50,68.220116
-3.0,4,68.228199
-2.0,3,68.235038
-50.0,50,68.34411
-3.0,4,68.352723
-50.0,50,68.457109
-50.0,50,68.559114
-50.0,50,68.662939
-50.0,50,68.773423
-1.0,2,68.777669
-50.0,50,68.884727
-50.0,50,68.98947
-3.0,4,68.997629
-50.0,50,69.101168
-2.0,3,69.107538
-50.0,50,69.208559
-4.0,5,69.21902
-50.0,50,69.320451
-4.0,5,69.330846
-4.0,5,69.340577
-50.0,50,69.441112
